cmte_id,amndt_ind,rpt_tp,transaction_pgi,image_num,transaction_tp,entity_tp,name,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,other_id,cand_id,tran_id,file_num,memo_cd,memo_text,sub_id
C00694323,N,Q2,P2020,202207159519944052,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04202022,-10,C00495846,H2MO02102,A24020200195044158A1,1615035,,,4072520221548021014
C00694323,N,Q2,P2020,202207159519947972,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-10,C00495846,H2MO02102,A3750DCEFFB514B6EBC4,1615035,,,4072520221548033774
C00694323,N,Q2,P2020,202207159519950635,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-15,C00495846,H2MO02102,A448D9BFE50AD4D0FA33,1615035,,,4072520221548041763
C00694323,N,Q2,P2020,202207159519942750,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04022022,0,C00495846,H2MO02102,A1D90A3C0720E4819A38,1615035,,,4072520221548017110
C00694323,N,Q2,P2020,202207159519948958,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05042022,-25,C00783464,H2MO04140,A3C25BAEDEEDA4092BAC,1615035,,,4072520221548036734
C00694323,N,Q2,P2020,202207159519943253,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,04202022,-10,C00458679,H8MO09153,A200FC4B6D9EB418F8B7,1615035,,,4072520221548018617
C00694323,N,Q2,P2020,202207159519946580,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05132022,-20,C00783464,H2MO04140,A30951D21D0344FDC87B,1615035,,,4072520221548028598
C00694323,N,Q2,P2020,202207159519949965,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05042022,-50,C00783464,H2MO04140,A413B0ABECB5D47E589B,1615035,,,4072520221548039754
C00694323,N,Q2,P2020,202207159519949195,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04212022,-10,C00495846,H2MO02102,A3D5D5E8DDAC8449F87A,1615035,,,4072520221548037444
C00694323,N,Q2,P2020,202207159519943896,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,05082022,-5,C00458679,H8MO09153,A234A3115F8024304B9C,1615035,,,4072520221548020548
C00694323,N,Q2,P2020,202207159519945577,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,06052022,-50,C00783464,H2MO04140,A2B759757C77F444F9C7,1615035,,,4072520221548025589
C00694323,N,Q2,P2020,202207159519950241,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,05072022,-25,C00495846,H2MO02102,A4295B82CF902447A870,1615035,,,4072520221548040581
C00694323,N,Q2,P2020,202207159519950322,24K,CCM,GREITENS FOR US SENATE,CHESTERFIELD,MO,63006,,,06012022,-35,C00774059,S2MO00536,A43010A4F2F3A4133B9E,1615035,,,4072520221548040824
C00694323,N,Q2,P2020,202207159519941005,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,06242022,-5,C00458679,H8MO09153,A150DF4958DA14CB9949,1615035,,,4072520221548011875
C00694323,N,Q2,P2020,202207159519943934,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,04122022,-10,C00458679,H8MO09153,A23707376E17C48A1A4A,1615035,,,4072520221548020660
C00694323,N,Q2,P2020,202207159519946041,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04152022,-25,C00783464,H2MO04140,A2DCE2B954AAA40A3B88,1615035,,,4072520221548026982
C00694323,N,Q2,P2020,202207159519946043,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,05072022,-35,C00458679,H8MO09153,A2DCFC9FF64AB41C9A95,1615035,,,4072520221548026988
C00694323,N,Q2,P2020,202207159519947920,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06302022,-25,C00495846,H2MO02102,A370EC0DD7FFB4F928D5,1615035,,,4072520221548033619
